iso_code,Country_name,period,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,new_cases,new_cases_per_million,new_deaths,new_deaths_per_million,stringency_index
CIV,Ivory Coast,2020Q1,179.0,6.616,1.0,0.037,179.0,6.618,1.0,0.037,51.28142857142858
CIV,Ivory Coast,2020Q2,9499.0,351.117,68.0,2.514,9320.0,344.5,67.0,2.4789999999999996,71.47428571428571
CIV,Ivory Coast,2020Q3,19724.0,729.07,120.0,4.436,10225.0,377.953,52.0,1.924,43.75532608695652
CIV,Ivory Coast,2020Q4,22490.0,831.312,137.0,5.064,2800.0,103.5,17.0,0.629,26.429021739130434
CMR,Cameroon,2020,26277.0,965.205,448.0,16.456,26277.0,965.204,448.0,16.45,51.14953488372093
CMR,Cameroon,2020Q1,193.0,7.089,6.0,0.22,193.0,7.09,6.0,0.221,31.447692307692307
CMR,Cameroon,2020Q2,12592.0,462.529,313.0,11.497,12399.0,455.438,307.0,11.273,64.22747252747253
CMR,Cameroon,2020Q3,20838.0,765.42,418.0,15.354,8246.0,302.89,105.0,3.855,58.458260869565216
CMR,Cameroon,2020Q4,26277.0,965.205,448.0,16.456,5439.0,199.786,30.0,1.101,36.4729347826087
COD,"Congo, the Democratic Republic of the",2020,17658.0,191.149,591.0,6.398,17658.0,191.154,591.0,6.4,54.637567567567565
COD,"Congo, the Democratic Republic of the",2020Q1,98.0,1.061,8.0,0.087,98.0,1.06,8.0,0.087,47.61952380952381
COD,"Congo, the Democratic Republic of the",2020Q2,7039.0,76.198,170.0,1.84,6941.0,75.14,162.0,1.751,80.40725274725276
COD,"Congo, the Democratic Republic of the",2020Q3,10659.0,115.385,272.0,2.944,3620.0,39.187,102.0,1.102,55.73945652173913
COD,"Congo, the Democratic Republic of the",2020Q4,17658.0,191.149,591.0,6.398,6999.0,75.767,319.0,3.46,29.648043478260867
COG,Congo,2020,7107.0,1256.316,108.0,19.091,7107.0,1256.322,139.0,24.576,64.47270547945205
COG,Congo,2020Q1,19.0,3.359,0.0,0.0,19.0,3.3600000000000003,0.0,0.0,31.047058823529408
COG,Congo,2020Q2,1087.0,192.151,37.0,6.541,1068.0,188.79399999999998,37.0,6.543,87.10813186813186
COG,Congo,2020Q3,5089.0,899.591,89.0,15.733,4002.0,707.442,83.0,14.673,65.4804347826087
COG,Congo,2020Q4,7107.0,1256.316,108.0,19.091,2018.0,356.726,19.0,3.36,47.2520652173913
COL,Colombia,2020,1642775.0,32044.242,43213.0,842.92,1642775.0,32044.245,43213.0,842.934,75.46046511627907
COL,Colombia,2020Q1,906.0,17.673,16.0,0.312,906.0,17.675,16.0,0.313,49.67923076923076
COL,Colombia,2020Q2,97846.0,1908.6,3334.0,65.034,96940.0,1890.93,3318.0,64.732,87.23186813186814
COL,Colombia,2020Q3,829679.0,16183.856,25998.0,507.121,731833.0,14275.255,22664.0,442.086,81.90739130434783
COL,Colombia,2020Q4,1642775.0,32044.242,43213.0,842.92,813096.0,15860.385,17215.0,335.803,64.65608695652173
COM,Comoros,2020,823.0,926.326,10.0,11.255,823.0,926.332,10.0,11.257,0.0
COM,Comoros,2020Q2,303.0,341.041,7.0,7.879,303.0,341.043,7.0,7.879999999999999,0.0
COM,Comoros,2020Q3,479.0,539.138,7.0,7.879,176.0,198.09799999999998,0.0,0.0,0.0
COM,Comoros,2020Q4,823.0,926.326,10.0,11.255,344.0,387.19100000000003,3.0,3.377,0.0
CPV,Cape Verde,2020,11840.0,21071.328,113.0,201.103,11840.0,21071.321,113.0,201.119,71.92850174216028
CPV,Cape Verde,2020Q1,6.0,10.678,1.0,1.78,6.0,10.679,1.0,1.78,57.02166666666667
CPV,Cape Verde,2020Q2,1227.0,2183.659,15.0,26.695,1221.0,2172.978,14.0,24.917,79.6821978021978
CPV,Cape Verde,2020Q3,6024.0,10720.75,60.0,106.78,4797.0,8537.086,45.0,80.09400000000001,68.9025
CPV,Cape Verde,2020Q4,11840.0,21071.328,113.0,201.103,5816.0,10350.578,53.0,94.328,69.22945652173912
CRI,Costa Rica,2020,169321.0,32947.899,2185.0,425.176,169321.0,32947.9,2185.0,425.173,64.95013289036545
CRI,Costa Rica,2020Q1,347.0,67.522,2.0,0.389,347.0,67.522,2.0,0.39,50.96307692307692
CRI,Costa Rica,2020Q2,3459.0,673.081,16.0,3.113,3112.0,605.562,14.0,2.729,73.79351648351648
CRI,Costa Rica,2020Q3,75760.0,14742.016,904.0,175.908,72301.0,14068.935,888.0,172.79,68.26021739130434
CRI,Costa Rica,2020Q4,169321.0,32947.899,2185.0,425.176,93561.0,18205.881,1281.0,249.264,56.845652173913045
CUB,Cuba,2020,11863.0,1048.2,146.0,12.9,11863.0,1048.204,147.0,12.977,73.34901694915254
CUB,Cuba,2020Q1,186.0,16.435,6.0,0.53,186.0,16.435,6.0,0.5289999999999999,38.8915
CUB,Cuba,2020Q2,2341.0,206.848,86.0,7.599,2155.0,190.415,80.0,7.0649999999999995,88.47153846153846
CUB,Cuba,2020Q3,5597.0,494.544,122.0,10.78,3256.0,287.695,37.0,3.268,77.82902173913043
CUB,Cuba,2020Q4,11863.0,1048.2,146.0,12.9,6266.0,553.659,24.0,2.1149999999999998,61.401630434782604
CYP,Cyprus,2020,22346.0,24939.593,120.0,133.928,22346.0,24939.577,120.0,133.92000000000002,64.97685618729098
CYP,Cyprus,2020Q1,230.0,256.695,7.0,7.812,230.0,256.696,7.0,7.812,57.40541666666667
CYP,Cyprus,2020Q2,996.0,1111.601,19.0,21.205,766.0,854.894,12.0,13.392000000000001,81.73296703296703
CYP,Cyprus,2020Q3,1743.0,1945.302,22.0,24.553,747.0,833.699,3.0,3.3480000000000003,49.807391304347824
CYP,Cyprus,2020Q4,22346.0,24939.593,120.0,133.928,20603.0,22994.288,98.0,109.36800000000001,65.5475
CZE,Czech Republic,2020,718661.0,67010.812,11580.0,1079.765,718661.0,67010.799,11594.0,1081.05,51.68679738562091
CZE,Czech Republic,2020Q1,3308.0,308.451,31.0,2.891,3308.0,308.45,31.0,2.89,57.52645161290322
CZE,Czech Republic,2020Q2,11954.0,1114.639,349.0,32.542,8646.0,806.184,323.0,30.106,52.29417582417582
CZE,Czech Republic,2020Q3,70763.0,6598.224,655.0,61.075,58809.0,5483.584,315.0,29.361,36.744565217391305
CZE,Czech Republic,2020Q4,718661.0,67010.812,11580.0,1079.765,647898.0,60412.581,10925.0,1018.693,64.06054347826087
DEU,Germany,2020,1746929.0,20821.444,33791.0,402.751,1746929.0,20821.444,33823.0,403.152,55.72588235294118
DEU,Germany,2020Q1,71808.0,855.871,775.0,9.237,71808.0,855.87,775.0,9.239,28.219846153846152
DEU,Germany,2020Q2,195418.0,2329.165,8990.0,107.151,123610.0,1473.294,8246.0,98.286,67.30142857142856
DEU,Germany,2020Q3,292913.0,3491.196,9495.0,113.17,97495.0,1162.035,506.0,6.044,55.122173913043476
