iso_code,continent,location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,extreme_poverty,female_smokers,male_smokers
THA,Asia,Thailand,69950844.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,90.67,2.1,77.15,0.777,0.1,1.9,38.8
TLS,Asia,Timor,1343875.0,87.176,18.0,3.556,1.897,6570.102,335.346,6.86,28.178,5.9,69.5,0.606,30.3,6.3,78.1
TGO,Africa,Togo,8478242.0,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,10.475,0.7,61.04,0.515,49.2,0.9,14.2
TKL,Oceania,Tokelau,1368.0,,,,,,,,,,81.86,,,,
TON,Oceania,Tonga,106759.0,150.028,22.3,5.82,4.032,5425.621,227.49,15.42,,2.6,70.91,0.725,,11.8,44.4
TTO,North America,Trinidad and Tobago,1403374.0,266.886,36.2,10.014,5.819,28763.071,228.467,10.97,89.443,3.0,73.51,0.796,,,
TUN,Africa,Tunisia,11935764.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,78.687,2.3,76.7,0.74,2.0,1.1,65.8
TUR,Asia,Turkey,85042736.0,104.914,31.6,8.153,5.061,25129.341,171.285,12.13,,2.81,77.69,0.82,0.2,14.1,41.1
TKM,Asia,Turkmenistan,6117933.0,12.253,26.9,4.277,2.541,16389.023,536.783,7.11,100.0,7.4,68.19,0.715,,,
TCA,North America,Turks and Caicos Islands,39226.0,37.312,,,,,,,,,80.22,,,,
TUV,Oceania,Tuvalu,11925.0,373.067,,,,3575.104,,27.25,,,67.57,,3.3,,
UGA,Africa,Uganda,47123533.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,21.222,0.5,63.37,0.544,41.6,3.4,16.7
UKR,Europe,Ukraine,43466822.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,,8.8,72.06,0.779,0.1,13.5,47.4
ARE,Asia,United Arab Emirates,9991083.0,112.442,34.0,1.144,0.526,67293.483,317.84,17.26,,1.2,77.97,0.89,,1.2,37.4
GBR,Europe,United Kingdom,68207114.0,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,,2.54,81.32,0.932,0.2,20.0,24.7
USA,North America,United States,332915074.0,35.608,38.3,15.413,9.732,54225.446,151.089,10.79,,2.77,78.86,0.926,1.2,19.1,24.6
OWID_UMC,,Upper middle income,2513672790.0,,,,,,,,,,,,,,
URY,South America,Uruguay,3485152.0,19.751,35.6,14.655,10.361,20551.409,160.708,6.93,,2.8,77.91,0.817,0.1,14.0,19.9
UZB,Asia,Uzbekistan,33935765.0,76.134,28.2,4.469,2.873,6253.104,724.417,7.57,,4.0,71.72,0.72,,1.3,24.7
VUT,Oceania,Vanuatu,314464.0,22.662,23.1,4.394,2.62,2921.909,546.3,12.02,25.209,,70.47,0.609,13.2,2.8,34.5
VAT,Europe,Vatican,812.0,,,,,,,,,,75.12,,,,
VEN,South America,Venezuela,28704947.0,36.253,29.0,6.614,3.915,16745.022,204.85,6.47,,0.8,72.06,0.711,,,
VNM,Asia,Vietnam,98168829.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,85.847,2.6,75.4,0.704,2.0,1.0,45.9
WLF,Oceania,Wallis and Futuna,11094.0,,,,,,,,,,79.94,,,,
OWID_WRL,,World,7874965730.0,58.045,30.9,8.696,5.355,15469.207,233.07,8.51,60.13,2.705,72.58,0.737,10.0,6.434,34.635
YEM,Asia,Yemen,30490639.0,53.508,20.3,2.922,1.583,1479.147,495.003,5.35,49.542,0.7,66.12,0.47,18.8,7.6,29.2
ZMB,Africa,Zambia,18920657.0,22.995,17.7,2.48,1.542,3689.251,234.499,3.94,13.938,2.0,63.89,0.584,57.5,3.1,24.7
ZWE,Africa,Zimbabwe,15092171.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,36.791,1.7,61.49,0.571,21.4,1.6,30.7
